,module,param,comp,size,shape,prunable
0,conv1,weight,1.2376237192839683,500,"(20, 1, 5, 5)",True
1,conv1,bias,1.1764705552361838,20,"(20,)",True
2,conv2,weight,19.18649266349393,25000,"(50, 20, 5, 5)",True
3,conv2,bias,25.00000055879356,50,"(50,)",True
4,fc1,weight,inf,400000,"(500, 800)",True
5,fc1,bias,inf,500,"(500,)",True
6,fc2,weight,1.0,5000,"(10, 500)",False
7,fc2,bias,1.0,10,"(10,)",False
