epoch,timestamp,train_loss,train_acc1,train_acc5,val_loss,val_acc1,val_acc5
-1,,,,,0.017990959949697127,0.09988132911392401,0.49030854430379744
0,8.940107345581055,0.017985645864309764,0.10342817164179102,0.509478278251599,0.017982680091186413,0.1016613924050633,0.5078124999999999
1,17.86525559425354,0.01798053881697564,0.11127398720682304,0.5158415511727081,0.017978926625432847,0.11224287974683542,0.5054390822784809
2,26.60492730140686,0.01797828538172533,0.11230676972281442,0.5229544243070368,0.0179770851059805,0.11224287974683542,0.5127571202531644
3,35.36252474784851,0.017977213487029083,0.11230676972281459,0.5233542110874204,0.017976003192082233,0.11224287974683542,0.5127571202531644
4,44.21486711502075,0.0179764564230498,0.11230676972281448,0.5251365938166312,0.01797528324436538,0.11224287974683542,0.502373417721519
5,52.893643617630005,0.017975800994362662,0.11230676972281452,0.517240804904051,0.017974580178343802,0.11224287974683542,0.5197784810126582
6,61.73601198196411,0.01797519983259091,0.11230676972281453,0.5283682036247331,0.017973863979495026,0.11224287974683542,0.515625
7,70.42279767990112,0.017974453785621528,0.11230676972281448,0.5277518656716418,0.017973055898011493,0.11224287974683542,0.515625
8,79.23527455329895,0.01797361897110051,0.11230676972281446,0.5394289712153514,0.01797206735214854,0.11224287974683542,0.515625
9,88.10953044891357,0.01797262536310182,0.11230676972281449,0.5296008795309164,0.017970942338056208,0.11224287974683542,0.515625
10,96.9280002117157,0.017971336094936584,0.11230676972281455,0.5294676172707888,0.017969478699791284,0.11224287974683542,0.5587420886075948
11,105.78133177757263,0.017969648697292395,0.11230676972281446,0.5668976545842206,0.017967467773941502,0.11224287974683542,0.5157238924050633
12,114.44514966011047,0.017967398820528332,0.11230676972281453,0.5515891524520257,0.017964856793420227,0.11224287974683542,0.51592167721519
13,123.20976877212524,0.017964429120773437,0.11230676972281448,0.5543210287846478,0.017961229940381237,0.11224287974683542,0.551918512658228
14,132.15087914466858,0.01796007088458996,0.1123067697228145,0.5567530650319835,0.017955958065164233,0.11224287974683542,0.5700158227848099
15,141.53184366226196,0.01795361361412732,0.11230676972281446,0.6181869669509595,0.017947832169600674,0.11224287974683542,0.6208465189873422
16,150.89485669136047,0.017943336066406676,0.11230676972281448,0.6399087153518128,0.01793429625656785,0.11224287974683542,0.6541732594936708
17,160.1242253780365,0.017925141268034503,0.11230676972281459,0.6590651652452026,0.01790947780673262,0.11224287974683542,0.6768196202531647
18,169.3815188407898,0.017888791604972348,0.11230676972281443,0.6816198027718547,0.017855599192501622,0.11224287974683542,0.6849287974683546
19,178.76846742630005,0.017797383966285798,0.24981676439232392,0.715118603411514,0.017700871782778186,0.4392800632911393,0.761867088607595
