epoch,timestamp,train_loss,train_acc1,train_acc5,val_loss,val_acc1,val_acc5
-1,,,,,0.017985449396545374,0.11600079113924047,0.49030854430379744
0,8.83735728263855,0.017954753064461107,0.18831623134328368,0.5595015991471216,0.01792230782440946,0.20668512658227847,0.6534810126582279
1,17.700673818588257,0.017874944951139032,0.32404384328358227,0.7522321428571431,0.01780792733630802,0.4127768987341772,0.8371242088607593
2,26.48918914794922,0.01766070462207296,0.5349313699360341,0.8789812100213218,0.01739013808060296,0.6448773734177218,0.886570411392405
3,35.432292222976685,0.01585745698671096,0.6453391524520258,0.9093650053304907,0.0111990724749203,0.7023338607594937,0.9644976265822789
4,44.231778621673584,0.0058405591787567815,0.8085021321961607,0.9858908582089552,0.0033683335663503193,0.8665941455696203,0.9818037974683544
5,53.23573303222656,0.003072935650482584,0.8844449626865666,0.9919043176972285,0.0024966115229232587,0.8951740506329113,0.9844738924050632
6,62.323843002319336,0.0024849615771688834,0.9057336087420046,0.9941864339019183,0.0021135108672521567,0.9101068037974681,0.9852650316455697
7,71.12931323051453,0.00213210813158543,0.9181103411513853,0.9954690831556505,0.0018170814240230481,0.9195015822784811,0.986155063291139
8,80.12826251983643,0.001872424536056,0.9283548773987216,0.996435234541578,0.0016261143727770333,0.9271162974683542,0.9868473101265826
9,89.40019869804382,0.0016832262829148657,0.9349680170575693,0.9968350213219619,0.0014341832735410695,0.934137658227848,0.9875395569620252
10,98.58232760429382,0.0015308827144165284,0.9409315031982941,0.9973014392324093,0.0013097817432083767,0.9408623417721517,0.9880340189873417
11,107.54293632507324,0.0014192649186390257,0.9453957889125794,0.9975013326226004,0.0012079477158674966,0.9444224683544302,0.9880340189873416
12,116.43999719619751,0.001329013480812803,0.9484275053304901,0.9977511993603408,0.001152867896248781,0.945411392405063,0.987836234177215
13,125.4087610244751,0.0012489687359736937,0.9520422441364608,0.997934434968017,0.001066287975799575,0.9488726265822786,0.9880340189873416
14,134.20026421546936,0.001184306060671924,0.9539912046908317,0.9980010660980806,0.0010184908984413176,0.9501582278481012,0.988132911392405
15,143.10446643829346,0.0011285002004411781,0.9562066897654578,0.9981343283582091,0.0009718452569865766,0.9511471518987342,0.9882318037974683
16,151.90295100212097,0.0010773970891085108,0.9586720415778249,0.9983342217484011,0.0009401236739570696,0.9535205696202531,0.9882318037974683
17,160.60073733329773,0.0010347383967198643,0.9601046108742005,0.9984008528784641,0.0008793297506772318,0.9556962025316456,0.9884295886075949
18,169.19177341461182,0.0009960456291645027,0.9617870469083155,0.9984175106609815,0.0008573615062612332,0.9571795886075948,0.9882318037974683
19,177.88550925254822,0.0009604653447872885,0.9627531982942427,0.9985007995735605,0.0008291359009732173,0.9566851265822784,0.9885284810126582
