epoch,timestamp,train_loss,train_acc1,train_acc5,val_loss,val_acc1,val_acc5
-1,,,,,0.017973790746889536,0.11164952531645575,0.5318433544303797
0,8.729653596878052,0.017757316030609573,0.37233475479744094,0.7476845682302774,0.017357185270778747,0.6535799050632911,0.8861748417721517
1,17.637865781784058,0.013829264844428188,0.7120369136460551,0.949910047974414,0.006053993033386673,0.8116099683544303,0.978639240506329
2,26.412434816360474,0.003945459108074885,0.86232342750533,0.9903551439232411,0.0027949073701165612,0.8872626582278481,0.9842761075949364
3,35.2508327960968,0.0025660118913706904,0.9032182835820897,0.9943363539445627,0.0021193380689740627,0.9118868670886078,0.9854628164556962
4,44.017422676086426,0.002052848780481046,0.9228411513859278,0.9960021321961628,0.0017335703673837352,0.9251384493670882,0.986451740506329
5,52.93461084365845,0.0017179308938476115,0.9347014925373137,0.9969516257995741,0.0014565461477311914,0.9351265822784812,0.9873417721518988
6,62.33251476287842,0.0014803392314555646,0.943330223880597,0.9977511993603406,0.0012859072538716813,0.9418512658227847,0.9875395569620254
7,71.1459801197052,0.0013044744632941588,0.9507262793176977,0.998101012793177,0.0011386631837312154,0.9459058544303798,0.9879351265822782
8,80.086106300354,0.0011588788454431787,0.9558568763326225,0.9983175639658856,0.0010232731237689982,0.9511471518987341,0.9880340189873414
9,88.68913388252258,0.001051767080933399,0.9599213752665248,0.9984508262260128,0.0009235221918337447,0.9542128164556962,0.9882318037974682
10,97.68511152267456,0.0009568365291877979,0.9636693763326232,0.9986174040511723,0.0008263255643018792,0.956981803797468,0.9883306962025316
11,106.42876315116882,0.0008857904257985564,0.9658682036247331,0.9986673773987209,0.0007584852809705359,0.9599485759493671,0.9886273734177218
12,115.31204795837402,0.0008252253271587221,0.9680003997867809,0.998783981876333,0.000724372487961255,0.9618275316455693,0.988429588607595
13,123.98587775230408,0.0007712331109073088,0.9703158315565034,0.9987506663113004,0.0006609427864532333,0.962321993670886,0.9887262658227849
14,132.71556758880615,0.000727065492761202,0.9716317963752663,0.9988839285714282,0.0006394830990895479,0.9636075949367089,0.9887262658227851
15,141.56792879104614,0.0006882307385077088,0.9731976279317699,0.9989172441364608,0.0006379742558065232,0.9627175632911391,0.9887262658227851
16,150.53800582885742,0.0006544459200062571,0.9740471748400846,0.9990171908315567,0.0005998983850284136,0.9663765822784813,0.9888251582278479
17,159.4512481689453,0.000625474317838798,0.9758295575692967,0.9990171908315564,0.0005402321675077636,0.9667721518987343,0.9888251582278481
18,168.6728241443634,0.0006004696527470163,0.9764792110874204,0.9990338486140723,0.0005303177022545277,0.9672666139240507,0.9889240506329114
19,177.54911041259766,0.0005728680507537092,0.9772787846481878,0.9990838219616204,0.0005120530545412556,0.9683544303797464,0.9888251582278479
