epoch,timestamp,train_loss,train_acc1,train_acc5,val_loss,val_acc1,val_acc5
-1,,,,,0.017977958710133274,0.08138844936708861,0.49802215189873433
0,8.634975671768188,0.011947123930036926,0.6462886460554378,0.9031516524520258,0.0031903755999924737,0.8781645569620251,0.9821993670886078
1,17.452492475509644,0.002468275350591997,0.908232276119403,0.9946361940298504,0.0017895132258661163,0.9202927215189873,0.986451740506329
2,25.999318838119507,0.001659168864164485,0.9374167110874198,0.9973014392324095,0.0013145229492197996,0.9434335443037974,0.9874406645569623
3,34.83475923538208,0.0012591342930235202,0.9522421375266524,0.9981676439232409,0.0010162100725555998,0.9519382911392404,0.988132911392405
4,43.56447958946228,0.0010174704980088285,0.9611707089552239,0.9986673773987206,0.0007931273426671583,0.9580696202531642,0.9884295886075946
5,52.232367515563965,0.0008577797026348621,0.9668510127931766,0.9988172974413646,0.0006756744573804214,0.9640031645569622,0.9886273734177214
6,60.92718195915222,0.0007496088027900979,0.9711154051172707,0.9989005863539439,0.0006364361571528046,0.9639042721518989,0.9887262658227851
7,69.79952263832092,0.0006747848170224638,0.973913912579957,0.9990671641791048,0.0005655769174511447,0.9666732594936709,0.9887262658227851
8,78.50830149650574,0.0006089829614661238,0.9761127398720674,0.9991004797441363,0.0005143618579115609,0.9693433544303798,0.9886273734177212
9,87.47841787338257,0.0005651922776707081,0.9776119402985074,0.999183768656716,0.0004895669253298213,0.9705300632911393,0.9887262658227851
10,96.34875917434692,0.0005229230786337128,0.9795109275053304,0.999150453091684,0.0004349932575068227,0.972705696202532,0.9888251582278479
11,105.101389169693,0.000492512242545732,0.9801272654584229,0.9992670575692958,0.00041364841433589184,0.9727056962025316,0.9887262658227847
12,113.96076583862305,0.00046252632363903413,0.9819596215351807,0.9992004264392321,0.0004292102086673125,0.9719145569620251,0.9889240506329114
13,122.65458297729492,0.00043985807872371093,0.9827591950959486,0.9992170842217482,0.0003652038006788918,0.9752768987341772,0.9889240506329114
14,131.4331738948822,0.00041813999572994705,0.9837586620469084,0.9992670575692965,0.0003645625142205142,0.974881329113924,0.9888251582278479
15,140.2785882949829,0.00039680557506714204,0.9839585554371006,0.9993336886993603,0.0004012443674479142,0.9719145569620253,0.9889240506329114
16,149.00830912590027,0.0003806820283349763,0.9850912846481875,0.9993003731343295,0.0003639924716711142,0.9748813291139241,0.9888251582278479
17,157.8178334236145,0.0003647767514573596,0.9858408848614074,0.9992837153518128,0.0003135830355214366,0.9761669303797467,0.9889240506329114
18,166.64029359817505,0.0003529566682133969,0.9861074093816627,0.9993170309168441,0.00032023710258427746,0.975474683544304,0.9889240506329114
19,175.50976061820984,0.0003353889278630896,0.9868903251599144,0.9993003731343297,0.00032320258531721643,0.9762658227848102,0.9889240506329114
