epoch,timestamp,train_loss,train_acc1,train_acc5,val_loss,val_acc1,val_acc5
-1,,,,,0.01799164313964452,0.12124208860759493,0.49030854430379744
0,8.363302230834961,0.017950602280877553,0.2070062633262261,0.5558535447761191,0.01791054338122471,0.28599683544303806,0.6690071202531642
1,17.10021209716797,0.017851261866848878,0.2959421641791043,0.7235307835820896,0.01777022664399841,0.39428401898734167,0.7808544303797466
2,25.754549503326416,0.017589932672981264,0.5325659648187636,0.8614905383795308,0.01726302499823933,0.6385482594936713,0.8844936708860761
3,34.375086545944214,0.015571589943077141,0.6729744136460548,0.9167110874200421,0.010907124669019936,0.7021360759493672,0.9642009493670887
4,42.61175179481506,0.00602690220476866,0.7955090618336894,0.9846415245202559,0.0036473455367303353,0.8538370253164557,0.9796281645569621
5,51.04534721374512,0.0032641153620270058,0.8769323027718553,0.9911713752665247,0.0026918979961413265,0.8893393987341773,0.9832871835443038
6,59.430944204330444,0.002599691888734478,0.9011194029850751,0.9941198027718555,0.0022440104123832693,0.9050632911392406,0.9852650316455696
7,67.8145363330841,0.0022228369073543164,0.9146954957356083,0.9955023987206816,0.0019437433927779718,0.9149525316455693,0.9863528481012656
8,76.31321573257446,0.001951530606903905,0.9255563699360342,0.9962686567164187,0.0017113617400873068,0.9256329113924051,0.9873417721518987
9,84.79854774475098,0.0017562545342013434,0.9323027718550113,0.9968017057569296,0.0015469249402382116,0.9325553797468353,0.987737341772152
10,93.18953204154968,0.0015903527269821012,0.9380330490405121,0.9972847814498931,0.0013942587975179777,0.9367088607594939,0.9877373417721518
11,101.7137930393219,0.001466583228111068,0.9434968017057574,0.9977178837953086,0.0012786469314154528,0.9410601265822786,0.9882318037974682
12,110.16844940185547,0.0013636258608380597,0.947161513859275,0.9979510927505328,0.0011967668759996141,0.9441257911392407,0.9881329113924051
13,118.57614016532898,0.001270927130684023,0.9513093017057564,0.9981010127931766,0.0011098276849270978,0.946993670886076,0.988429588607595
14,126.96546745300293,0.0011963072922458063,0.9539079157782524,0.9982675906183368,0.00105144598821909,0.9496637658227849,0.9883306962025317
15,135.41079592704773,0.00113124339643971,0.9560567697228142,0.9983841950959479,0.0010289952359339102,0.9505537974683542,0.9883306962025317
16,143.89652752876282,0.0010742356082665784,0.9585554371002135,0.9984841417910442,0.0009778441132616935,0.9524327531645569,0.988132911392405
17,152.31869626045227,0.0010237575832333392,0.9605210554371002,0.9985674307036246,0.0008974281208102641,0.9547072784810128,0.9884295886075949
18,160.96803760528564,0.0009852390872428273,0.9614705490405121,0.998650719616205,0.0008731503537172655,0.9543117088607598,0.988429588607595
19,169.30661964416504,0.0009427661226857812,0.9636860341151385,0.9986507196162043,0.000821140339661425,0.9580696202531648,0.9885284810126582
