,module,param,comp,size,shape,prunable
0,conv1,weight,6.84931516915778,500,"(20, 1, 5, 5)",True
1,conv1,bias,9.99999985098839,20,"(20,)",True
2,conv2,weight,8.683570435092932,25000,"(50, 20, 5, 5)",True
3,conv2,bias,9.99999985098839,50,"(50,)",True
4,fc1,weight,8.72638396180247,400000,"(500, 800)",True
5,fc1,bias,9.090909140169128,500,"(500,)",True
6,fc2,weight,1.0,5000,"(10, 500)",False
7,fc2,bias,1.0,10,"(10,)",False
