epoch,timestamp,train_loss,train_acc1,train_acc5,val_loss,val_acc1,val_acc5
-1,,,,,0.01799164313964452,0.12124208860759493,0.49030854430379744
0,8.883684396743774,0.0179506022093901,0.2070062633262261,0.5558535447761191,0.017910543310491345,0.28599683544303806,0.6690071202531642
1,18.207324266433716,0.01785126153324077,0.2959421641791043,0.7235307835820896,0.01777022598382038,0.39428401898734167,0.7808544303797466
2,27.348405838012695,0.01758993183896107,0.5325493070362474,0.8614905383795308,0.017263024432372445,0.6385482594936713,0.8844936708860761
3,36.65389657020569,0.015571587995044206,0.6729577558635391,0.9167110874200421,0.010907116322483442,0.7022349683544304,0.9642009493670887
4,45.467668294906616,0.006026881523549494,0.7955090618336894,0.9846415245202559,0.0036473171527591788,0.8537381329113927,0.9796281645569621
5,54.18832802772522,0.0032641170665558225,0.8769323027718553,0.9911713752665247,0.0026918976664207167,0.8894382911392404,0.9832871835443038
6,63.21324133872986,0.0025996995525363123,0.9011194029850751,0.9941198027718555,0.0022440297537206226,0.9050632911392406,0.9852650316455696
7,72.09750247001648,0.002222861628110674,0.9147121535181244,0.9955023987206816,0.0019437541431434969,0.9149525316455693,0.9863528481012656
8,81.08791542053223,0.0019515483410034115,0.9255730277185507,0.9962853144989345,0.001711409260195391,0.9256329113924051,0.9873417721518987
9,90.49668192863464,0.0017562813206470575,0.9323527452025586,0.996785047974414,0.0015468298583004116,0.9324564873417718,0.987737341772152
10,100.1776511669159,0.001590407784230935,0.9380996801705745,0.9972847814498931,0.0013943034190319102,0.9367088607594939,0.9877373417721518
11,109.41125297546387,0.0014666318012250556,0.9434968017057574,0.9977178837953086,0.0012786945344602449,0.9410601265822786,0.9882318037974682
12,118.6263837814331,0.0013636877656162678,0.9471115405117266,0.9979510927505328,0.00119682155422243,0.9442246835443037,0.9881329113924051
13,127.66453981399536,0.0012709777930682933,0.9512926439232404,0.9981010127931766,0.00110988894222736,0.9470925632911393,0.988429588607595
14,136.6079969406128,0.001196329997763581,0.9539079157782524,0.9982675906183368,0.0010514566101040984,0.9496637658227849,0.9883306962025317
15,145.6273980140686,0.0011312458227931662,0.9560734275053311,0.9983841950959479,0.0010290711503284332,0.9506526898734179,0.9883306962025317
16,154.57366609573364,0.0010742076899362878,0.9585554371002135,0.9984841417910442,0.0009778119309183106,0.9524327531645569,0.988132911392405
17,163.32927107810974,0.001023703751199917,0.9605210554371002,0.9985674307036246,0.0008974610271114306,0.9547072784810128,0.9884295886075949
18,172.33254647254944,0.0009851606795688416,0.9615038646055437,0.9986673773987204,0.0008731128491490379,0.9542128164556962,0.988429588607595
19,181.53532361984253,0.0009426308639058626,0.963669376332623,0.9986507196162043,0.0008211741651508945,0.9580696202531648,0.9885284810126582
